name,address,price,unit_price,house_type,area,floor,build_year
四中 多层浇筑房 怡翠山庄  豪装 四居室 带车位 无税,怡翠山庄 黄岛-长江路-长白山路99号,265265万,265万,4室2厅,153m²,共5层,2005年建造
工抵房！恒大双拼别墅 抄底价 赠送大大庭院 赠送地下 露台,恒大悦珑台(别墅) 即墨-蓝色硅谷-麒麟路88号,270270万,270万,4室3厅,227m²,共4层,2017年建造
星雨华府北区洋房 163平  四室两厅两卫 277万随时看房,星雨华府(别墅) 城阳-高新区-和源路216号,277277万,277万,4室2厅,163m²,共5层,2017年建造
龙湖！合院！285王上叠别墅！送露台！送花园送车位！,龙湖蓝湖郡 城阳-夏庄-王沙大道,285285万,285万,4室2厅,141m²,共4层,2016年建造
龙湖蓝湖郡(别墅) 4室2厅2卫 141.0平米,龙湖蓝湖郡 城阳-夏庄-王沙大道,290290万,290万,4室2厅,141m²,共4层,2017年建造
龙湖锦璘原著三期 上叠别墅144平米300万 小区环境好,龙湖锦璘原著(一期) 城阳-夏庄-王沙路36号,300300万,300万,4室2厅,144m²,共5层,2016年建造
青特赫山 上叠毛坯 随意装修 141平 300万 送100多,青特赫山 城阳-家佳源-荟城路667号,300300万,300万,4室3厅,141m²,共4层,2016年建造
龙湖悠山郡(别墅) 满二 毛坯已搭建 采光好带车位 随时看房,龙湖悠山郡 城阳-家佳源-青威路689号,310310万,310万,4室2厅,133m²,共4层,2018年建造
薛家岛 大平层 环海君和花园,环海君和花园 黄岛-薛家岛-漳江路98号,310310万,310万,4室2厅,153m²,共5层,2013年建造
卓 越蔚蓝群岛  居家自住 急售,卓越蔚蓝群岛(一期) 城阳-流亭-双元路18号,320320万,320万,4室2厅,210m²,共5层,2000年建造
金秋泰和郡(别墅) 李沧北 高品质叠拼 别墅小区,金秋泰和郡(别墅) 城阳-夏庄-玉虹路16号,330330万,330万,4室2厅,160m²,共4层,2019年建造
"青特赫山,上叠别墅，已加建完成，看湖景，看山景，带院子双车位",青特赫山 城阳-家佳源-荟城路667号,330330万,330万,4室3厅,141m²,共5层,2017年建造
招商雍华府 上叠 现房 送平台 送车位  185平 340万,招商雍华府 城阳-高新区-同顺路，近合心路,340340万,340万,4室2厅,185m²,共4层,2020年建造
城阳 鑫江合院，上叠别墅，人车分流，电梯入户，送露台送车位,鑫江合院(别墅) 城阳-夏庄-王沙路27号,340340万,340万,4室2厅,155m²,共4层,2018年建造
城中城 4室2厅3卫 202.0平米 340.00万元,城中城悦景 城阳-流亭-兴阳路702号,340340万,340万,4室2厅,202m²,共5层,2014年建造
俯视开发区 高点 可改造空间比较大  随时看房 万科青岛小镇,"万科青岛小镇 黄岛-灵山卫-胶州湾东路999号,前湾港东路777号",368368万,368万,4室2厅,173m²,共3层,2015年建造
万科青岛小镇 4室2厅3卫 173.0平米 368.00万元,"万科青岛小镇 黄岛-灵山卫-胶州湾东路999号,前湾港东路777号",368368万,368万,4室2厅,173m²,共3层,2015年建造
万科青岛小镇 叠拼别墅 视野无遮挡 诚心急售 看房随时,"万科青岛小镇 黄岛-灵山卫-胶州湾东路999号,前湾港东路777号",368368万,368万,4室2厅,173m²,共3层,2015年建造
龙湖3期  豪华装修  进口家居全送 带车位 楼座位置好,"龙湖锦璘原著(三期) 城阳-夏庄-华安路,近王沙路",400400万,400万,4室2厅,119m²,共4层,2017年建造
安子怡海新都别墅上叠带露台带院子带车位毛坯南北通透全明薛家岛,台湾风情大街(别墅) 黄岛-薛家岛-长江东路187号,410410万,410万,4室2厅,174m²,共3层,2014年建造
地铁口！送大露台！海尔山海湾套四急售！,海尔山海湾 黄岛-薛家岛-漓江东路505号,430430万,430万,4室2厅,159m²,共5层,2011年建造
535万 绿城理想之城蓝庭(B区) 4室2厅 南北通透 诚心,绿城理想之城蓝庭(B区) 李沧-金水路-灵川路8号,535535万,535万,4室2厅,169m²,共4层,2008年建造
新上 绿城理想之城御园B区 法式洋房 车位 诚意出售,绿城理想之城御园B区 李沧-九水路-延川路12号,570570万,570万,4室2厅,176m²,共5层,2000年建造
绿城御园 法式洋房 低公摊 改善好房 小区环境优美 有车位,绿城理想之城御园B区 李沧-九水路-延川路12号,570570万,570万,4室2厅,176m²,共5层,2000年建造
介费1东城国际南区顶加阁，阁楼利用率很高，诚心出售,海尔东城国际(南区) 崂山-颐中体育场-辽阳东路16号,570570万,570万,4室3厅,131m²,共5层,2007年建造
！准现房！中和金岸 豪华户户可看海大平层5层洋房 3.6层高,卓越天元 黄岛-薛家岛-金沙滩路787号,590590万,590万,4室2厅,210m²,共5层,2020年建造
波尔度小镇 上叠别墅 毛坯元气未动 带观景平台 院子 车位,海尔波尔多小镇 崂山-沙子口-九水东路657号甲,590590万,590万,4室2厅,180m²,共4层,2018年建造
急售时代城翡翠公元电梯别墅上叠三四楼带露台,时代城翡翠公元 李沧-十梅庵-黑龙江中路512号,650650万,650万,4室3厅,238m²,共4层,2018年建造
特价 崂山金玲路 鲁商蓝岸丽舍 M11号线地铁 电梯洋房精装,鲁商蓝岸丽舍 崂山-崂山区政府-松岭路88号,726726万,726万,4室2厅,168m²,共5层,2014年建造
3楼复式 看山看海 带前后平台 带地上车库 急售,爱琴海公寓 崂山-石老人-香港东路237号,798798万,798万,4室3厅,150m²,共3层,2003年建造
爱琴海公寓151加阁楼 海景好带平台车库 798万 有钥匙,爱琴海公寓 崂山-石老人-香港东路237号,838838万,838万,4室2厅,150m²,共3层,2003年建造
八大关矿泉鉆石楼层精装未住868套四双卫远看山近看花园有钥匙,矿泉花园 市南-八大关-太平角四路18号,868868万,868万,4室2厅,142m²,共5层,1994年建造
59中学 校 背靠湛山 面朝大海 大套四 近清泉墅 八大关,矿泉花园 市南-八大关-太平角四路18号,868868万,868万,4室1厅,142m²,共4层,2002年建造
荣达名园5楼复式 4室2厅2卫带车库30平 132平 93万,荣达名园 平度-城关-红旗东路22号,9393万,93万,4室2厅,132m²,共5层,2004年建造
